steps,time,nodes,filtered_nodes
2000,0.44,405,0
4002,0.84,512,0
6002,1.26,575,5
8001,1.74,629,18
10000,2.21,691,35
12001,2.72,731,51
14002,3.22,779,60
16000,3.68,817,68
18000,4.11,849,79
20000,4.6,891,91
22000,5.09,921,111
24000,5.58,940,120
26000,6.07,972,131
28000,6.54,1000,136
30000,7.0,1026,144
32001,7.5,1045,146
34000,8.03,1063,148
36000,8.46,1088,151
38001,8.92,1106,151
40001,9.52,1128,151
42002,9.97,1146,151
44000,10.44,1158,153
46001,10.95,1177,154
48002,11.48,1192,154
50002,11.91,1204,155
52002,12.47,1222,157
54002,12.98,1236,157
56001,13.55,1251,159
58000,14.09,1271,160
60001,14.61,1284,162
62002,15.17,1296,164
64000,15.7,1310,165
66001,16.24,1326,167
68000,16.81,1340,168
70002,17.38,1364,174
72001,17.9,1379,177
74002,18.5,1387,178
76000,19.06,1392,179
78002,19.61,1404,180
80001,20.23,1419,181
82001,20.76,1433,182
84001,21.37,1442,184
86001,21.96,1456,186
88000,22.5,1464,189
90000,23.14,1477,195
92001,23.69,1488,198
94000,24.32,1501,200
96002,24.86,1514,203
98002,25.47,1523,205
100001,26.04,1531,210
102000,26.65,1544,214
104000,27.2,1556,217
106001,27.82,1564,218
108001,28.4,1573,218
110002,29.02,1581,220
112001,29.65,1594,223
114000,30.2,1601,225
116001,30.71,1610,227
118001,31.31,1616,229
120001,31.92,1625,229
122000,32.51,1633,230
124001,33.13,1638,235
126000,33.7,1644,237
128001,34.3,1656,239
130000,34.91,1662,243
132002,35.56,1674,245
134000,36.12,1684,249
136002,36.71,1690,252
138002,37.22,1694,255
140000,37.77,1702,256
142000,38.39,1712,259
144002,39.0,1719,260
146001,39.61,1729,267
148002,40.22,1735,269
150001,40.88,1743,269
152001,41.49,1752,272
154000,42.1,1758,273
156001,42.71,1768,279
158001,43.32,1774,279
160000,43.96,1780,284
162000,44.57,1785,286
164001,45.18,1794,290
166002,45.8,1804,293
168002,46.41,1811,295
170001,46.97,1815,299
172000,47.58,1824,305
174001,48.16,1826,308
176001,48.8,1830,309
178001,49.34,1838,313
180002,49.96,1845,318
182002,50.57,1850,321
184002,51.17,1854,324
186002,51.76,1859,328
188000,52.37,1866,331
190001,52.96,1871,333
192001,53.62,1876,338
194001,54.18,1881,340
196001,54.74,1884,342
198000,55.3,1886,346
200002,55.88,1892,348
