steps,time,nodes,filtered_nodes
2002,0.47,410,0
4001,0.91,499,0
6002,1.41,568,5
8001,1.94,634,19
10002,2.48,682,34
12001,3.04,734,48
14002,3.57,785,58
16001,4.09,819,70
18000,4.71,851,87
20000,5.28,888,100
22001,5.84,915,120
24000,6.4,943,127
26000,7.04,968,139
28000,7.61,997,145
30000,8.14,1027,150
32000,8.69,1049,152
34000,9.22,1067,152
36001,9.8,1088,152
38000,10.98,1109,152
40000,11.66,1126,152
42001,12.29,1139,152
44001,12.83,1163,155
46000,13.43,1174,155
48000,13.96,1193,159
50002,14.51,1208,159
52001,15.09,1225,162
54000,15.65,1243,163
56002,16.22,1262,163
58001,16.82,1274,166
60001,17.36,1289,167
62000,17.95,1302,167
64000,18.49,1318,170
66002,19.09,1339,172
68002,19.74,1350,175
70001,20.29,1362,176
72001,20.88,1379,180
74000,21.46,1394,180
76000,22.03,1404,183
78000,22.61,1418,185
80001,23.2,1430,188
82001,23.8,1440,191
84000,24.39,1455,192
86001,24.96,1462,194
88000,25.58,1476,196
90001,26.19,1486,197
92001,26.75,1500,199
94000,27.33,1511,200
96000,27.87,1520,202
98001,28.44,1526,204
100001,29.08,1531,206
102001,29.7,1541,206
104001,30.3,1551,209
106000,30.88,1559,211
108002,31.46,1568,215
110001,32.08,1574,218
112001,32.76,1588,221
114001,33.36,1594,223
116000,33.99,1603,225
118000,34.65,1610,227
120002,35.27,1623,228
122001,35.86,1635,232
124000,36.44,1646,232
126002,37.12,1651,234
128002,37.76,1663,236
130001,38.4,1670,236
132001,39.02,1676,239
134000,39.62,1684,241
136000,40.22,1692,244
138000,40.89,1700,247
140000,41.54,1705,247
142001,42.14,1712,248
144001,42.68,1718,250
146001,43.34,1725,252
148000,44.01,1734,255
150002,44.62,1742,256
152002,45.24,1750,259
154000,45.88,1754,263
156001,46.48,1760,266
158001,47.08,1773,270
160000,47.66,1778,273
162002,48.36,1784,275
164001,49.0,1793,275
166000,49.58,1799,279
168000,50.18,1807,284
170000,50.81,1815,288
172001,51.45,1823,291
174001,52.06,1828,295
176000,52.76,1836,301
178001,53.58,1846,303
180000,54.42,1848,306
182002,55.42,1855,308
184001,56.56,1862,311
186001,58.52,1868,316
188002,62.79,1877,317
190000,65.97,1881,320
192001,67.16,1890,322
194002,67.9,1897,328
196002,68.55,1906,329
198000,69.24,1909,332
200000,69.85,1914,335
