steps,time,nodes,filtered_nodes
2001,0.45,411,0
4000,0.91,493,1
6001,1.45,575,9
8002,1.97,632,20
10000,2.44,691,36
12001,3.01,735,49
14002,3.58,786,54
16001,4.1,821,58
18000,4.58,861,74
20000,5.13,899,92
22001,5.67,933,111
24002,6.22,958,126
26000,6.76,988,139
28001,7.28,1015,142
30000,7.81,1032,145
32000,8.27,1056,151
34001,8.82,1073,152
36002,9.35,1096,152
38002,9.91,1121,152
40000,10.42,1137,152
42001,10.94,1156,153
44002,11.58,1177,154
46002,12.11,1190,154
48002,12.67,1203,154
50000,13.28,1219,155
52001,13.9,1238,155
54002,14.47,1254,156
56000,15.02,1270,157
58002,15.55,1291,158
60001,16.15,1307,159
62000,16.72,1327,160
64000,17.3,1335,161
66000,17.9,1345,162
68000,18.49,1357,165
70002,19.0,1368,170
72000,19.61,1379,172
74002,20.33,1388,173
76002,20.96,1400,176
78001,21.55,1414,178
80002,22.17,1426,179
82002,22.84,1442,186
84000,23.45,1459,187
86001,24.12,1471,187
88000,24.75,1483,190
90000,25.53,1497,196
92002,26.16,1506,199
94000,26.77,1523,201
96000,27.45,1537,202
98000,28.16,1550,203
100000,28.87,1563,208
102002,29.42,1571,209
104000,30.1,1578,212
106001,30.68,1584,217
108000,31.26,1596,220
110000,31.83,1607,222
112002,32.44,1615,223
114000,33.05,1623,227
116001,33.68,1630,231
118001,34.31,1641,233
120001,34.89,1656,236
122000,35.49,1664,237
124002,36.03,1672,237
126002,36.64,1687,239
128000,37.31,1695,239
130000,37.94,1706,240
132000,38.53,1714,240
134000,39.12,1721,240
136002,39.69,1724,242
138002,40.27,1732,243
140000,40.9,1738,248
142001,41.51,1745,252
144001,42.11,1755,254
146002,42.75,1761,258
148002,43.37,1770,262
150000,43.99,1777,264
152002,44.57,1786,266
154000,45.22,1794,267
156001,45.84,1802,268
158001,46.49,1811,271
160002,47.12,1816,272
162000,47.81,1825,275
164001,48.42,1832,278
166001,49.05,1834,281
168002,49.67,1840,286
170001,50.3,1843,288
172000,50.91,1847,291
174000,51.52,1851,295
176000,52.16,1854,299
178001,52.81,1860,302
180000,53.49,1869,309
182002,54.1,1874,313
184002,54.79,1880,316
186000,55.38,1886,319
188001,56.0,1891,323
190000,56.58,1896,325
192000,57.2,1906,329
194002,57.81,1911,333
196001,58.41,1913,337
198001,59.11,1915,340
200001,59.8,1918,343
