steps,time_per_step,pred_success,nodes,filtered_nodes
0,0,0,0,0
2001,0.0001,0.5942,285,4
4000,0.0002,0.603,361,13
6001,0.0002,0.6384,406,24
8001,0.0002,0.6128,462,34
10000,0.0003,0.6229,498,48
12000,0.0003,0.6398,529,62
14001,0.0002,0.6385,567,76
16001,0.0002,0.6334,597,86
18000,0.0002,0.6311,613,94
20000,0.0002,0.6363,627,102
22001,0.0002,0.6496,637,110
24002,0.0002,0.6139,660,117
26001,0.0002,0.6409,671,126
28002,0.0002,0.6601,685,132
30000,0.0002,0.6389,698,134
32001,0.0002,0.6378,710,143
34000,0.0002,0.6415,723,151
36000,0.0002,0.6366,738,158
38002,0.0002,0.6357,752,160
40001,0.0002,0.6186,762,165
42000,0.0002,0.6294,769,177
44001,0.0002,0.6409,775,182
46001,0.0002,0.6356,784,186
48001,0.0002,0.636,793,193
50000,0.0002,0.6287,797,198
52000,0.0002,0.6275,805,206
54002,0.0003,0.6381,812,211
56002,0.0003,0.6542,822,218
58001,0.0002,0.6364,826,226
60000,0.0002,0.6347,829,233
62001,0.0002,0.6516,839,239
64000,0.0002,0.6466,840,240
66000,0.0002,0.6334,846,243
68002,0.0002,0.6301,853,248
70000,0.0002,0.6549,859,253
72002,0.0002,0.6148,865,258
74001,0.0002,0.6218,875,270
76001,0.0002,0.6309,880,274
78001,0.0002,0.6172,887,279
80002,0.0002,0.6307,894,282
82001,0.0002,0.6239,898,287
84001,0.0002,0.6277,902,291
86001,0.0002,0.634,904,296
88001,0.0002,0.6348,905,303
90001,0.0002,0.6235,907,306
92002,0.0002,0.6456,909,313
94001,0.0002,0.6202,912,317
96000,0.0003,0.6203,914,320
98000,0.0003,0.6313,919,322
100000,0.0002,0.6226,923,326
102001,0.0002,0.6163,929,329
104000,0.0002,0.6522,934,333
106000,0.0002,0.6444,936,334
108002,0.0002,0.6243,937,334
110001,0.0002,0.6458,939,337
112000,0.0002,0.6406,943,341
114000,0.0002,0.6482,947,344
116001,0.0002,0.6506,952,347
118002,0.0002,0.6452,954,347
120002,0.0002,0.6266,955,350
122002,0.0002,0.6217,959,353
124002,0.0002,0.6454,961,358
126000,0.0002,0.6496,962,359
128000,0.0002,0.6439,963,367
130001,0.0002,0.6406,963,369
132001,0.0002,0.6241,964,371
134001,0.0003,0.6381,968,374
136000,0.0003,0.6644,970,378
138001,0.0003,0.6575,971,381
140001,0.0002,0.6344,973,385
142001,0.0002,0.6273,976,390
144000,0.0002,0.664,977,391
146001,0.0002,0.6458,978,392
148002,0.0002,0.6482,981,393
150001,0.0002,0.637,982,396
152001,0.0002,0.6444,982,398
154002,0.0002,0.6293,983,400
156000,0.0002,0.6548,985,400
158002,0.0002,0.6496,987,401
160001,0.0002,0.6334,988,401
162002,0.0002,0.6277,988,403
164001,0.0002,0.6377,989,404
166001,0.0002,0.6408,992,406
168002,0.0002,0.6458,994,409
170002,0.0002,0.6478,998,410
172000,0.0002,0.6503,1000,413
174000,0.0003,0.6389,1000,418
176001,0.0003,0.6497,1002,419
178001,0.0003,0.6314,1004,420
180002,0.0002,0.6345,1005,421
182001,0.0002,0.6375,1009,421
184001,0.0002,0.6213,1009,421
186000,0.0002,0.6202,1011,422
188001,0.0002,0.6323,1011,423
190000,0.0002,0.6419,1011,424
192000,0.0002,0.6434,1011,426
194000,0.0002,0.6331,1011,427
196002,0.0002,0.6524,1011,428
198000,0.0002,0.6606,1011,429
200001,0.0002,0.6297,1013,431
