steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0002,0.264,99,0
500,0.0002,0.48,117,0
750,0.0002,0.56,123,0
1000,0.0002,0.644,125,1
1250,0.0001,0.644,125,1
1500,0.0002,0.748,126,2
1750,0.0002,0.68,126,3
2000,0.0002,0.652,126,7
2250,0.0002,0.648,126,8
2500,0.0002,0.636,126,10
2750,0.0002,0.74,126,10
3000,0.0002,0.692,126,11
3250,0.0002,0.728,126,12
3500,0.0002,0.68,126,13
3750,0.0002,0.636,126,13
4000,0.0002,0.568,126,14
4250,0.0001,0.672,126,14
4500,0.0002,0.66,126,14
4750,0.0003,0.708,126,14
5000,0.0003,0.664,126,16
5250,0.0002,0.756,126,17
5500,0.0002,0.712,126,20
5750,0.0001,0.804,126,22
6000,0.0003,0.628,126,25
6250,0.0002,0.64,126,26
6500,0.0002,0.74,126,26
6750,0.0002,0.692,126,26
7000,0.0001,0.664,126,27
7250,0.0001,0.652,126,29
7500,0.0001,0.604,126,31
7750,0.0002,0.748,126,32
8000,0.0002,0.692,126,32
8250,0.0002,0.62,126,32
8500,0.0002,0.624,126,32
8750,0.0001,0.712,126,32
9000,0.0001,0.592,126,32
9250,0.0001,0.668,126,32
9500,0.0001,0.776,126,32
9750,0.0002,0.652,126,32
10000,0.0002,0.664,126,32
10250,0.0002,0.76,126,32
10500,0.0002,0.664,126,32
10750,0.0001,0.64,126,32
11000,0.0002,0.708,126,32
11250,0.0001,0.616,126,32
11500,0.0002,0.684,126,32
11750,0.0001,0.672,126,32
12000,0.0001,0.588,126,32
12250,0.0001,0.728,126,32
12500,0.0002,0.72,126,32
12750,0.0001,0.688,126,32
13000,0.0002,0.676,126,32
13250,0.0001,0.748,126,32
13500,0.0001,0.644,126,32
13750,0.0002,0.764,126,32
14000,0.0001,0.724,126,32
14250,0.0001,0.724,126,32
14500,0.0002,0.728,126,32
14750,0.0002,0.652,126,32
15000,0.0001,0.668,126,32
15250,0.0001,0.688,126,32
15500,0.0002,0.772,126,32
15750,0.0002,0.768,126,32
16000,0.0001,0.688,126,32
16250,0.0001,0.596,126,32
16500,0.0002,0.7,126,32
16750,0.0002,0.616,126,32
17000,0.0001,0.652,126,32
17250,0.0001,0.692,126,32
17500,0.0002,0.728,126,32
17750,0.0002,0.672,126,32
18000,0.0002,0.704,126,32
18250,0.0002,0.616,126,32
18500,0.0002,0.68,126,32
18750,0.0002,0.664,126,32
19000,0.0001,0.688,126,32
19250,0.0002,0.636,126,32
19500,0.0001,0.688,126,32
19750,0.0001,0.616,126,32
20000,0.0001,0.724,126,32
20250,0.0002,0.72,126,32
20500,0.0002,0.608,126,32
20750,0.0002,0.728,126,32
21000,0.0002,0.684,126,32
21250,0.0002,0.772,126,32
21500,0.0002,0.76,126,32
21750,0.0002,0.508,126,32
22000,0.0001,0.696,126,32
22250,0.0002,0.684,126,32
22500,0.0002,0.624,126,32
22750,0.0001,0.788,126,32
23000,0.0002,0.64,126,32
23250,0.0001,0.744,126,32
23500,0.0001,0.792,126,32
23750,0.0002,0.684,126,32
24000,0.0002,0.68,126,32
24250,0.0001,0.736,126,32
24500,0.0002,0.568,126,32
24750,0.0001,0.704,126,32
25000,0.0002,0.744,126,32
