steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.288,99,0
500,0.0001,0.592,112,0
750,0.0002,0.572,116,0
1000,0.0001,0.576,120,0
1250,0.0002,0.636,120,0
1500,0.0002,0.548,121,5
1750,0.0001,0.556,121,5
2000,0.0002,0.552,121,5
2250,0.0001,0.56,121,5
2500,0.0001,0.664,121,7
2750,0.0001,0.544,121,10
3000,0.0001,0.584,121,11
3250,0.0002,0.608,121,12
3500,0.0001,0.596,121,12
3750,0.0002,0.548,121,12
4000,0.0002,0.568,121,13
4250,0.0002,0.588,121,14
4500,0.0001,0.564,121,14
4750,0.0002,0.524,121,16
5000,0.0001,0.572,121,17
5250,0.0002,0.516,121,20
5500,0.0001,0.58,121,21
5750,0.0001,0.604,121,23
6000,0.0002,0.484,121,25
6250,0.0002,0.56,121,25
6500,0.0001,0.5,121,31
6750,0.0001,0.552,121,31
7000,0.0001,0.568,121,32
7250,0.0001,0.612,121,32
7500,0.0001,0.568,121,32
7750,0.0001,0.6,121,32
8000,0.0002,0.532,121,32
8250,0.0001,0.604,121,33
8500,0.0002,0.568,121,33
8750,0.0001,0.636,121,33
9000,0.0001,0.596,121,33
9250,0.0002,0.712,121,33
9500,0.0002,0.656,121,33
9750,0.0001,0.58,121,33
10000,0.0002,0.604,121,33
10250,0.0002,0.612,121,33
10500,0.0001,0.612,121,33
10750,0.0001,0.568,121,33
11000,0.0002,0.508,121,33
11250,0.0001,0.536,121,33
11500,0.0001,0.644,121,33
11750,0.0001,0.668,121,33
12000,0.0002,0.572,121,33
12250,0.0002,0.612,121,33
12500,0.0002,0.664,121,33
12750,0.0002,0.524,121,33
13000,0.0002,0.564,121,33
13250,0.0001,0.508,121,33
13500,0.0002,0.584,121,33
13750,0.0001,0.56,121,33
14000,0.0001,0.608,121,33
14250,0.0002,0.548,121,33
14500,0.0001,0.572,121,33
14750,0.0001,0.548,121,33
15000,0.0001,0.556,121,33
15250,0.0002,0.58,121,33
15500,0.0001,0.6,121,33
15750,0.0002,0.516,121,33
16000,0.0002,0.6,121,33
16250,0.0001,0.592,121,33
16500,0.0002,0.636,121,33
16750,0.0001,0.556,121,33
17000,0.0001,0.516,121,33
17250,0.0002,0.652,121,33
17500,0.0001,0.496,121,33
17750,0.0002,0.612,121,33
18000,0.0001,0.52,121,33
18250,0.0001,0.54,121,33
18500,0.0002,0.548,121,33
18750,0.0002,0.668,121,33
19000,0.0002,0.672,121,33
19250,0.0002,0.596,121,33
19500,0.0001,0.504,121,33
19750,0.0002,0.636,121,33
20000,0.0002,0.688,121,33
20250,0.0001,0.604,121,33
20500,0.0001,0.64,121,33
20750,0.0001,0.568,121,33
21000,0.0001,0.632,121,33
21250,0.0002,0.524,121,33
21500,0.0002,0.584,121,33
21750,0.0001,0.544,121,33
22000,0.0001,0.616,121,33
22250,0.0001,0.616,121,33
22500,0.0002,0.552,121,33
22750,0.0002,0.56,121,33
23000,0.0001,0.576,121,33
23250,0.0002,0.588,121,33
23500,0.0002,0.548,121,33
23750,0.0002,0.712,121,33
24000,0.0001,0.588,121,33
24250,0.0002,0.532,121,33
24500,0.0001,0.536,121,33
24750,0.0001,0.536,121,33
25000,0.0001,0.608,121,33
